"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Deposit","1","0","Deposit Boundary Value","0"
"0","","0","Authentication","1","0","Valid Login","0"
"0","","0","Deposit","1","0","Valid Deposit","0"
"0","","0","Transaction History","1","0","Failed Transaction Adds Row","0"
"0","","0","Balance Display","1","0","Balance on Login","0"
"0","","0","Deposit","1","0","Deposit Exceeds Limit","0"
"0","","0","Withdrawal","1","0","Valid Withdrawal","0"
"0","","0","Withdrawal","1","0","Withdraw Negative","0"
"0","","0","Authentication","1","0","Empty Fields","0"
"0","","0","Deposit","1","0","Deposit Negative","0"
"0","","0","Withdrawal","1","0","Withdraw Exceeds Limit","0"
"0","","0","Withdrawal","1","0","Insufficient Funds","0"
"0","","0","Deposit","1","0","Deposit Zero","0"
"0","","0","Authentication","1","0","Logout","0"
"0","","0","Authentication","1","0","Invalid Username","0"
"0","","0","Balance Display","1","0","Balance After Withdrawal","0"
"0","","0","Transaction History","1","0","Deposit Adds Transaction Row","0"
"0","","0","Withdrawal","1","0","Withdraw Boundary Value","0"
"0","","0","Balance Display","1","0","Balance After Deposit","0"
"0","","0","Transaction History","1","0","No Transactions on Fresh Login","0"
"0","","0","Transaction History","1","0","Multiple Transactions in Reverse Order","0"
"0","","0","Authentication","1","0","Invalid Password","0"
"0","","0","Withdrawal","1","0","Withdraw Zero","0"
