"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","278","test_TC011_deposit_boundary","automation.tests","2026-08-12","passed","2026-08-12","TestDeposit","test_deposit","",""
"","403","test_TC001_valid_login","automation.tests","2026-08-12","passed","2026-08-12","TestAuthentication","test_auth","",""
"","278","test_TC006_valid_deposit","automation.tests","2026-08-12","passed","2026-08-12","TestDeposit","test_deposit","",""
"","260","test_TC020_failed_transaction_adds_row","automation.tests","2026-08-12","passed","2026-08-12","TestTransactions","test_transactions","",""
"","373","test_TC023_balance_on_login","automation.tests","2026-08-12","passed","2026-08-12","TestBalance","test_balance","",""
"","258","test_TC009_deposit_exceeds_limit","automation.tests","2026-08-12","passed","2026-08-12","TestDeposit","test_deposit","",""
"","279","test_TC012_valid_withdrawal","automation.tests","2026-08-12","passed","2026-08-12","TestWithdrawal","test_withdraw","",""
"","257","test_TC014_withdraw_negative","automation.tests","2026-08-12","passed","2026-08-12","TestWithdrawal","test_withdraw","",""
"","157","test_TC004_empty_fields","automation.tests","2026-08-12","passed","2026-08-12","TestAuthentication","test_auth","",""
"","256","test_TC008_deposit_negative","automation.tests","2026-08-12","passed","2026-08-12","TestDeposit","test_deposit","",""
"","498","test_TC016_withdraw_exceeds_limit","automation.tests","2026-08-12","passed","2026-08-12","TestWithdrawal","test_withdraw","",""
"","255","test_TC015_insufficient_funds","automation.tests","2026-08-12","passed","2026-08-12","TestWithdrawal","test_withdraw","",""
"","258","test_TC007_deposit_zero","automation.tests","2026-08-12","passed","2026-08-12","TestDeposit","test_deposit","",""
"","129","test_TC005_logout","automation.tests","2026-08-12","passed","2026-08-12","TestAuthentication","test_auth","",""
"","385","test_TC003_invalid_username","automation.tests","2026-08-12","passed","2026-08-12","TestAuthentication","test_auth","",""
"","619","test_TC025_balance_after_withdrawal","automation.tests","2026-08-12","passed","2026-08-12","TestBalance","test_balance","",""
"","260","test_TC019_deposit_adds_row","automation.tests","2026-08-12","passed","2026-08-12","TestTransactions","test_transactions","",""
"","516","test_TC017_withdraw_boundary","automation.tests","2026-08-12","passed","2026-08-12","TestWithdrawal","test_withdraw","",""
"","613","test_TC024_balance_after_deposit","automation.tests","2026-08-12","passed","2026-08-12","TestBalance","test_balance","",""
"","12","test_TC018_no_transactions","automation.tests","2026-08-12","passed","2026-08-12","TestTransactions","test_transactions","",""
"","496","test_TC021_multiple_transactions_order","automation.tests","2026-08-12","passed","2026-08-12","TestTransactions","test_transactions","",""
"","397","test_TC002_invalid_password","automation.tests","2026-08-12","passed","2026-08-12","TestAuthentication","test_auth","",""
"","268","test_TC013_withdraw_zero","automation.tests","2026-08-12","passed","2026-08-12","TestWithdrawal","test_withdraw","",""
